section,strat,strat2,sampleid,height,CaCO3,TN,del13Ctoc,TOCcfb,Na_Al,K_Al
Bonenburg,Psilonotenton Formation,Post-event Beds,3060,30.16,29.33,0.03,-26.6,0.56,0.014915179327585935,0.1911015717771769
Bonenburg,Psilonotenton Formation,Post-event Beds,3100,30.56,92.64,0.01,-28,2.29,0.03434574305708195,0.1490838679478423
Bonenburg,Psilonotenton Formation,Post-event Beds,3125,30.79,65.18,0.04,-29.2,3.14,0.02348506214443711,0.16428529428650432
Bonenburg,Psilonotenton Formation,Post-event Beds,3140,30.97,31.17,0.06,-28.6,3.75,0.01634383635130106,0.17287964728852453
Bonenburg,Psilonotenton Formation,Post-event Beds,3170,31.17,57.87,0.02,-26.9,0.6,0.012091103423156396,0.1590412320408336
Bonenburg,Psilonotenton Formation,Post-event Beds,3200,31.55,12.82,0.05,-26.9,1.06,0.00850172653251535,0.15888908497281248
Bonenburg,Psilonotenton Formation,Post-event Beds,3220,31.72,9.27,0.11,-30,5.47,0.016852311260008208,0.21266286698580086
Bonenburg,Psilonotenton Formation,Post-event Beds,3300,32.53,52.74,0.04,-26.3,0.88,0.01732351075247554,0.17044383733218227
Bonenburg,Psilonotenton Formation,Post-event Beds,3315,32.67,60.21,0.02,-26.1,0.5,0.01930993998542607,0.18010535966224178
Bonenburg,Psilonotenton Formation,Post-event Beds,3375,33.36,80.94,0.01,-26.2,0.89,0.017885707705197387,0.18232726903398208
Bonenburg,Psilonotenton Formation,Post-event Beds,3400,33.58,49.41,0.03,-25.4,0.42,0.01755449089584188,0.18087504068643936
Bonenburg,Psilonotenton Formation,Post-event Beds,3450,33.9,80.66,0.01,-26,0.44,0.01512674215492758,0.17244130180427406
Bonenburg,Psilonotenton Formation,Post-event Beds,3500,34.17,68.55,0.02,-25.8,0.49,0.017425413756901865,0.17114083949805783
Bonenburg,Psilonotenton Formation,Post-event Beds,3530,34.34,66.6,0.02,-25.4,0.34,0.02004356050047618,0.1876528288099706
Bonenburg,Psilonotenton Formation,Post-event Beds,3550,34.44,7.72,0.05,-27.5,1.11,0.00927173814921226,0.15268953839187888
