section,strat,strat2,sampleid,del13Ctoc,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,CaCO3,5.02
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,TOCcfb,2.19
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,Na_Al,0.03421448544030328
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,K_Al,0.20582839363654037
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,height,12.91
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,CaCO3,5.79
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,TN,0.03
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,TOCcfb,2.37
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,Na_Al,0.04298268726702461
Bonenburg,Contorta Beds,Pre-event Beds,1012,-27.6,K_Al,0.20934191974316002
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,height,13
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,CaCO3,4.31
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,TOCcfb,2.4
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,Na_Al,0.01316586817188141
Bonenburg,Contorta Beds,Pre-event Beds,1018,-27.1,K_Al,0.1873473583899193
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,height,13.11
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,CaCO3,9.9
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,TN,0.11
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,TOCcfb,4.85
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,Na_Al,0.04976698168971174
Bonenburg,Contorta Beds,Pre-event Beds,1036,-27.7,K_Al,0.2078138765333559
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,height,13.23
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,CaCO3,8.95
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,TOCcfb,1.89
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,Na_Al,0.019039870894720808
Bonenburg,Contorta Beds,Pre-event Beds,1042,-28.1,K_Al,0.19768961075352573
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,height,13.33
Bonenburg,Contorta Beds,Pre-event Beds,1051,-25.1,CaCO3,12.13
