section,strat,strat2,sampleid,height,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,del13Ctoc,-27.1
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,TOCcfb,1.93
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,Na_Al,0.025391317188628436
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,K_Al,0.2016289397317679
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,CaCO3,4.77
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,del13Ctoc,-27
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,TOCcfb,1.77
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,Na_Al,0.025241072708222356
Bonenburg,Contorta Beds,Pre-event Beds,952,12.36,K_Al,0.19859136721974546
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,CaCO3,5.02
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,del13Ctoc,-27.2
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,TOCcfb,2.19
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,Na_Al,0.03421448544030328
Bonenburg,Contorta Beds,Pre-event Beds,980,12.62,K_Al,0.20582839363654037
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,CaCO3,5.79
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,TN,0.03
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,del13Ctoc,-27.6
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,TOCcfb,2.37
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,Na_Al,0.04298268726702461
Bonenburg,Contorta Beds,Pre-event Beds,1012,12.91,K_Al,0.20934191974316002
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,CaCO3,4.31
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,del13Ctoc,-27.1
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,TOCcfb,2.4
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,Na_Al,0.01316586817188141
Bonenburg,Contorta Beds,Pre-event Beds,1018,13,K_Al,0.1873473583899193
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,CaCO3,9.9
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,TN,0.11
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,del13Ctoc,-27.7
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,TOCcfb,4.85
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,Na_Al,0.04976698168971174
Bonenburg,Contorta Beds,Pre-event Beds,1036,13.11,K_Al,0.2078138765333559
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,CaCO3,8.95
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,del13Ctoc,-28.1
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,TOCcfb,1.89
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,Na_Al,0.019039870894720808
Bonenburg,Contorta Beds,Pre-event Beds,1042,13.23,K_Al,0.19768961075352573
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,CaCO3,12.13
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,TN,0.06
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,del13Ctoc,-25.1
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,TOCcfb,0.77
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,Na_Al,0.010756794421281834
Bonenburg,Contorta Beds,Pre-event Beds,1051,13.33,K_Al,0.1587344290967548
Bonenburg,Triletes Beds,Event Beds,1075,13.55,CaCO3,10.06
Bonenburg,Triletes Beds,Event Beds,1075,13.55,TN,0.06
Bonenburg,Triletes Beds,Event Beds,1075,13.55,del13Ctoc,-23
Bonenburg,Triletes Beds,Event Beds,1075,13.55,TOCcfb,0.54
Bonenburg,Triletes Beds,Event Beds,1075,13.55,Na_Al,0.004995744444666465
Bonenburg,Triletes Beds,Event Beds,1075,13.55,K_Al,0.1306023967146387
Bonenburg,Triletes Beds,Event Beds,1100,13.89,CaCO3,6.98
Bonenburg,Triletes Beds,Event Beds,1100,13.89,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1100,13.89,del13Ctoc,-24
Bonenburg,Triletes Beds,Event Beds,1100,13.89,TOCcfb,0.35
Bonenburg,Triletes Beds,Event Beds,1100,13.89,Na_Al,0.006582934085940705
Bonenburg,Triletes Beds,Event Beds,1100,13.89,K_Al,0.12740969811271224
Bonenburg,Triletes Beds,Event Beds,1150,14.24,CaCO3,8.07
Bonenburg,Triletes Beds,Event Beds,1150,14.24,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1150,14.24,del13Ctoc,-23.9
Bonenburg,Triletes Beds,Event Beds,1150,14.24,TOCcfb,0.53
Bonenburg,Triletes Beds,Event Beds,1150,14.24,Na_Al,0.004956562135296532
Bonenburg,Triletes Beds,Event Beds,1150,14.24,K_Al,0.12509580410929463
Bonenburg,Triletes Beds,Event Beds,1200,14.65,CaCO3,9.8
Bonenburg,Triletes Beds,Event Beds,1200,14.65,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1200,14.65,del13Ctoc,-23.4
Bonenburg,Triletes Beds,Event Beds,1200,14.65,TOCcfb,0.37
Bonenburg,Triletes Beds,Event Beds,1200,14.65,Na_Al,0.006007240230516233
Bonenburg,Triletes Beds,Event Beds,1200,14.65,K_Al,0.12326602562434799
Bonenburg,Triletes Beds,Event Beds,1250,15.07,CaCO3,8.03
Bonenburg,Triletes Beds,Event Beds,1250,15.07,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1250,15.07,del13Ctoc,-23.7
Bonenburg,Triletes Beds,Event Beds,1250,15.07,TOCcfb,0.45
Bonenburg,Triletes Beds,Event Beds,1250,15.07,Na_Al,0.005393247202939374
Bonenburg,Triletes Beds,Event Beds,1250,15.07,K_Al,0.11684314343240895
Bonenburg,Triletes Beds,Event Beds,1300,15.5,CaCO3,13.19
Bonenburg,Triletes Beds,Event Beds,1300,15.5,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1300,15.5,del13Ctoc,-23.6
Bonenburg,Triletes Beds,Event Beds,1300,15.5,TOCcfb,0.39
Bonenburg,Triletes Beds,Event Beds,1300,15.5,Na_Al,0.008201688369368748
Bonenburg,Triletes Beds,Event Beds,1300,15.5,K_Al,0.1237798499570262
Bonenburg,Triletes Beds,Event Beds,1350,15.9,CaCO3,13.52
Bonenburg,Triletes Beds,Event Beds,1350,15.9,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1350,15.9,del13Ctoc,-23.2
Bonenburg,Triletes Beds,Event Beds,1350,15.9,TOCcfb,0.34
Bonenburg,Triletes Beds,Event Beds,1350,15.9,Na_Al,0.00602505831594573
Bonenburg,Triletes Beds,Event Beds,1350,15.9,K_Al,0.12371970191922248
Bonenburg,Triletes Beds,Event Beds,1400,16.29,CaCO3,11.76
Bonenburg,Triletes Beds,Event Beds,1400,16.29,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1400,16.29,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,1400,16.29,TOCcfb,0.45
Bonenburg,Triletes Beds,Event Beds,1400,16.29,Na_Al,0.006959930311126738
Bonenburg,Triletes Beds,Event Beds,1400,16.29,K_Al,0.11855461238356647
Bonenburg,Triletes Beds,Event Beds,1450,16.72,CaCO3,8.82
Bonenburg,Triletes Beds,Event Beds,1450,16.72,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1450,16.72,del13Ctoc,-23.5
Bonenburg,Triletes Beds,Event Beds,1450,16.72,TOCcfb,0.48
Bonenburg,Triletes Beds,Event Beds,1450,16.72,Na_Al,0.008420809084553593
Bonenburg,Triletes Beds,Event Beds,1450,16.72,K_Al,0.15612413059358718
Bonenburg,Triletes Beds,Event Beds,1500,17.15,CaCO3,10.82
Bonenburg,Triletes Beds,Event Beds,1500,17.15,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1500,17.15,del13Ctoc,-23.2
Bonenburg,Triletes Beds,Event Beds,1500,17.15,TOCcfb,0.42
Bonenburg,Triletes Beds,Event Beds,1500,17.15,Na_Al,0.008336177837472652
Bonenburg,Triletes Beds,Event Beds,1500,17.15,K_Al,0.12165988249314555
Bonenburg,Triletes Beds,Event Beds,1550,17.55,CaCO3,9.02
Bonenburg,Triletes Beds,Event Beds,1550,17.55,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1550,17.55,del13Ctoc,-23.5
Bonenburg,Triletes Beds,Event Beds,1550,17.55,TOCcfb,0.3
Bonenburg,Triletes Beds,Event Beds,1550,17.55,Na_Al,0.006497441435473943
Bonenburg,Triletes Beds,Event Beds,1550,17.55,K_Al,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,1600,17.94,CaCO3,5.98
Bonenburg,Triletes Beds,Event Beds,1600,17.94,TN,0.05
Bonenburg,Triletes Beds,Event Beds,1600,17.94,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,1600,17.94,TOCcfb,0.4
Bonenburg,Triletes Beds,Event Beds,1600,17.94,Na_Al,0.011607459286230143
Bonenburg,Triletes Beds,Event Beds,1600,17.94,K_Al,0.13359463491430024
Bonenburg,Triletes Beds,Event Beds,1700,18.81,CaCO3,10.25
Bonenburg,Triletes Beds,Event Beds,1700,18.81,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1700,18.81,del13Ctoc,-23
Bonenburg,Triletes Beds,Event Beds,1700,18.81,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1700,18.81,Na_Al,0.011140349991591962
Bonenburg,Triletes Beds,Event Beds,1700,18.81,K_Al,0.12388904177950064
Bonenburg,Triletes Beds,Event Beds,1755,19.23,CaCO3,13.9
Bonenburg,Triletes Beds,Event Beds,1755,19.23,TN,0.02
Bonenburg,Triletes Beds,Event Beds,1755,19.23,del13Ctoc,-23.2
Bonenburg,Triletes Beds,Event Beds,1755,19.23,TOCcfb,0.22
Bonenburg,Triletes Beds,Event Beds,1755,19.23,Na_Al,0.016457335214851765
Bonenburg,Triletes Beds,Event Beds,1755,19.23,K_Al,0.12555421707223585
Bonenburg,Triletes Beds,Event Beds,1800,19.62,CaCO3,8.65
Bonenburg,Triletes Beds,Event Beds,1800,19.62,TN,0.04
Bonenburg,Triletes Beds,Event Beds,1800,19.62,del13Ctoc,-24
Bonenburg,Triletes Beds,Event Beds,1800,19.62,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1800,19.62,Na_Al,0.007439010715950932
Bonenburg,Triletes Beds,Event Beds,1800,19.62,K_Al,0.1262725572657835
Bonenburg,Triletes Beds,Event Beds,1850,20.02,CaCO3,11.61
Bonenburg,Triletes Beds,Event Beds,1850,20.02,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1850,20.02,del13Ctoc,-23.4
Bonenburg,Triletes Beds,Event Beds,1850,20.02,TOCcfb,0.34
Bonenburg,Triletes Beds,Event Beds,1850,20.02,Na_Al,0.007181382639208043
Bonenburg,Triletes Beds,Event Beds,1850,20.02,K_Al,0.11683316025200632
Bonenburg,Triletes Beds,Event Beds,1900,20.43,CaCO3,9.74
Bonenburg,Triletes Beds,Event Beds,1900,20.43,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1900,20.43,del13Ctoc,-24
Bonenburg,Triletes Beds,Event Beds,1900,20.43,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1900,20.43,Na_Al,0.015703866855617588
Bonenburg,Triletes Beds,Event Beds,1900,20.43,K_Al,0.11517395566908879
Bonenburg,Triletes Beds,Event Beds,1950,20.87,CaCO3,10.2
Bonenburg,Triletes Beds,Event Beds,1950,20.87,TN,0.03
Bonenburg,Triletes Beds,Event Beds,1950,20.87,del13Ctoc,-23.8
Bonenburg,Triletes Beds,Event Beds,1950,20.87,TOCcfb,0.36
Bonenburg,Triletes Beds,Event Beds,1950,20.87,Na_Al,0.012343001411138824
Bonenburg,Triletes Beds,Event Beds,1950,20.87,K_Al,0.11624588718584597
Bonenburg,Triletes Beds,Event Beds,2000,21.29,CaCO3,10.34
Bonenburg,Triletes Beds,Event Beds,2000,21.29,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2000,21.29,del13Ctoc,-24.8
Bonenburg,Triletes Beds,Event Beds,2000,21.29,TOCcfb,0.46
Bonenburg,Triletes Beds,Event Beds,2000,21.29,Na_Al,0.009708908372560594
Bonenburg,Triletes Beds,Event Beds,2000,21.29,K_Al,0.12886782287822632
Bonenburg,Triletes Beds,Event Beds,2095,22.11,CaCO3,10.36
Bonenburg,Triletes Beds,Event Beds,2095,22.11,TN,0.04
Bonenburg,Triletes Beds,Event Beds,2095,22.11,del13Ctoc,-23.5
Bonenburg,Triletes Beds,Event Beds,2095,22.11,TOCcfb,0.33
Bonenburg,Triletes Beds,Event Beds,2095,22.11,Na_Al,0.010449101723715406
Bonenburg,Triletes Beds,Event Beds,2095,22.11,K_Al,0.14294076163669983
Bonenburg,Triletes Beds,Event Beds,2150,22.5,CaCO3,13.17
Bonenburg,Triletes Beds,Event Beds,2150,22.5,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2150,22.5,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,2150,22.5,TOCcfb,0.14
Bonenburg,Triletes Beds,Event Beds,2150,22.5,Na_Al,0.02248768724248358
Bonenburg,Triletes Beds,Event Beds,2150,22.5,K_Al,0.1478967369489212
Bonenburg,Triletes Beds,Event Beds,2250,23.31,CaCO3,15.85
Bonenburg,Triletes Beds,Event Beds,2250,23.31,TN,0.02
Bonenburg,Triletes Beds,Event Beds,2250,23.31,del13Ctoc,-23.4
Bonenburg,Triletes Beds,Event Beds,2250,23.31,TOCcfb,0.21
Bonenburg,Triletes Beds,Event Beds,2250,23.31,Na_Al,0.01294271786388342
Bonenburg,Triletes Beds,Event Beds,2250,23.31,K_Al,0.13149804616799923
Bonenburg,Triletes Beds,Event Beds,2300,23.73,CaCO3,7.25
Bonenburg,Triletes Beds,Event Beds,2300,23.73,TN,0.03
Bonenburg,Triletes Beds,Event Beds,2300,23.73,del13Ctoc,-23.3
Bonenburg,Triletes Beds,Event Beds,2300,23.73,TOCcfb,0.17
